state_name,county_fips,county_name,votes_gop_20,votes_dem_20,total_votes_20,per_gop_20,per_dem_20,per_point_diff_20,votes_dem_16,votes_gop_16,total_votes_16,per_dem_16,per_gop_16,state_abbr
Idaho,16055,Kootenai County,62837,24312,89878,0.6991366074011438,0.27050001112619326,0.42863659627495054,16264,44449,66286,0.245361011375,0.670563919983,ID
Idaho,16057,Latah County,9472,10236,20570,0.46047642197374816,0.4976178901312591,-0.03714146815751096,8093,7255,18146,0.445993607407,0.399812630883,ID
Idaho,16059,Lemhi County,3592,1032,4738,0.7581257914731955,0.2178134233853947,0.5403123680878008,733,3011,4068,0.180186823992,0.740167158309,ID
Idaho,16061,Lewis County,1489,349,1870,0.7962566844919786,0.18663101604278076,0.6096256684491979,270,1202,1590,0.169811320755,0.755974842767,ID
Idaho,16063,Lincoln County,1469,414,1940,0.7572164948453608,0.2134020618556701,0.5438144329896907,360,1184,1748,0.205949656751,0.677345537757,ID
Idaho,16065,Madison County,13559,2666,17112,0.7923679289387564,0.15579710144927536,0.636570827489481,1201,8941,15687,0.0765602090903,0.569962389239,ID
Idaho,16067,Minidoka County,6265,1550,7993,0.7838108344801702,0.1939196797197548,0.5898911547604154,1167,4887,6870,0.169868995633,0.71135371179,ID
Idaho,16069,Nez Perce County,13738,6686,20967,0.6552201077884294,0.31888205274955883,0.3363380550388706,4828,10699,17195,0.280779296307,0.622215760395,ID
Idaho,16071,Oneida County,2148,249,2451,0.8763769889840881,0.10159118727050184,0.7747858017135862,184,1531,2068,0.0889748549323,0.740328820116,ID
Idaho,16073,Owyhee County,3819,816,4742,0.8053563897089836,0.1720792914382117,0.6332770982707718,591,3052,3920,0.150765306122,0.778571428571,ID
Idaho,16075,Payette County,8862,2161,11293,0.7847339059594439,0.1913574780837687,0.5933764278756752,892,4306,5703,0.156408907592,0.755041206383,ID
Idaho,16077,Power County,2116,865,3086,0.6856772521062865,0.280298120544394,0.4053791315618925,699,1666,2758,0.253444525018,0.604060913706,ID
Idaho,16079,Shoshone County,4216,1693,6049,0.6969747065630683,0.27988097206149776,0.4170937345015705,1384,3297,5120,0.2703125,0.6439453125,ID
Idaho,16081,Teton County,2858,3318,6347,0.4502914762880101,0.5227666614148416,-0.07247518512683154,2157,2161,4966,0.434353604511,0.435159081756,ID
Idaho,16083,Twin Falls County,25897,9391,36680,0.7060250817884406,0.2560250817884406,0.45,6844,21063,31893,0.214592543818,0.660427052958,ID
Idaho,16085,Valley County,3947,2976,7063,0.5588276936146114,0.4213507008353391,0.13747699277927228,1913,2906,5349,0.357636941484,0.543279117592,ID
Idaho,16087,Washington County,4154,1073,5344,0.7773203592814372,0.20078592814371257,0.5765344311377246,776,3283,4454,0.174225415357,0.73709025595,ID
Illinois,17001,Adams County,24220,8633,33527,0.7224028395024905,0.25749396009186626,0.46490887941062425,7633,22732,31770,0.240258105131,0.715517784073,IL
Illinois,17003,Alexander County,1486,1114,2625,0.5660952380952381,0.42438095238095236,0.14171428571428574,1262,1496,2820,0.447517730496,0.530496453901,IL
Illinois,17005,Bond County,5625,2288,8144,0.6906925343811395,0.28094302554027506,0.4097495088408645,2066,4884,7462,0.276869471991,0.654516215492,IL
Illinois,17007,Boone County,13883,10542,24979,0.5557868609632091,0.4220345089875495,0.13375235197565954,8952,12261,22604,0.396036099805,0.542426119271,IL
Illinois,17009,Brown County,1931,486,2525,0.7647524752475248,0.19247524752475248,0.5722772277227723,475,1776,2336,0.203339041096,0.760273972603,IL
Illinois,17011,Bureau County,10411,6669,17434,0.5971664563496616,0.38252839279568657,0.21463806355397502,6010,9264,16303,0.368643807888,0.568238974422,IL
Illinois,17013,Calhoun County,2046,677,2773,0.7378290659935088,0.2441399206635413,0.49368914532996755,739,1719,2556,0.289123630673,0.672535211268,IL
Illinois,17015,Carroll County,5105,2748,8024,0.6362163509471586,0.3424725822532403,0.2937437686939183,2437,4428,7354,0.331384280664,0.602121294534,IL
Illinois,17017,Cass County,3625,1615,5326,0.6806233571160345,0.3032294404806609,0.3773939166353736,1617,3216,5054,0.319944598338,0.636327661258,IL
Illinois,17019,Champaign County,35285,57067,95568,0.36921354428260506,0.5971350242759083,-0.2279214799933032,49694,33235,89196,0.557132606843,0.372606394906,IL
Illinois,17021,Christian County,11563,4335,16204,0.7135892372253765,0.2675265366576154,0.4460627005677611,3982,10522,15310,0.260091443501,0.687263226649,IL
Illinois,17023,Clark County,6226,1993,8355,0.745182525433872,0.23853979652902454,0.5066427289048474,1873,5620,7819,0.239544698811,0.718761990024,IL
Illinois,17025,Clay County,5629,1129,6899,0.815915350050732,0.16364690534860124,0.6522684447021307,1014,5009,6278,0.161516406499,0.797865562281,IL
Illinois,17027,Clinton County,14304,4493,19214,0.7444571666493182,0.23383990840012492,0.5106172582491932,3939,12394,17268,0.228109798471,0.717743803567,IL
Illinois,17029,Coles County,14037,8067,22606,0.6209413430062816,0.35685216314252854,0.264089179863753,7285,12985,21580,0.337581093605,0.60171455051,IL
Illinois,17031,Cook County,558269,1725973,2321399,0.24048817114162624,0.7435055326550929,-0.5030173615134667,1528582,440213,2055215,0.743757709047,0.214193162273,IL
Illinois,17033,Crawford County,7043,2202,9441,0.7460014828937612,0.23323800444868129,0.51276347844508,1969,6146,8507,0.231456447631,0.722463853297,IL
Illinois,17035,Cumberland County,4601,1142,5850,0.7864957264957265,0.19521367521367522,0.5912820512820514,1028,4200,5513,0.186468347542,0.761835661165,IL
Illinois,17037,DeKalb County,21905,24643,47989,0.4564587718018713,0.5135135135135135,-0.05705474171164221,20348,19051,42605,0.477596526229,0.447154089896,IL
Illinois,17039,De Witt County,5632,2191,8024,0.7018943170488534,0.27305583250249255,0.42883848454636087,1907,5072,7469,0.25532199759,0.679073503816,IL
Illinois,17041,Douglas County,6227,2335,8760,0.7108447488584475,0.2665525114155251,0.4442922374429224,1946,5695,8089,0.240573618494,0.704042526888,IL
Illinois,17043,DuPage County,193611,281222,485064,0.399145267428628,0.5797626704929659,-0.18061740306433793,222499,164355,412929,0.538831130776,0.398022420319,IL
Illinois,17045,Edgar County,6193,1887,8196,0.7556124938994632,0.23023426061493413,0.525378233284529,1778,5634,7783,0.228446614416,0.723885391237,IL
Illinois,17047,Edwards County,2833,488,3368,0.8411520190023754,0.14489311163895488,0.6962589073634204,432,2777,3312,0.130434782609,0.838466183575,IL
Illinois,17049,Effingham County,15006,3716,19083,0.7863543468008175,0.1947282921972436,0.5916260546035739,3071,13613,17428,0.176210695433,0.781099380308,IL
Illinois,17051,Fayette County,8055,1826,10076,0.7994243747518857,0.1812227074235808,0.6182016673283048,1814,7363,9515,0.190646347872,0.773830793484,IL
Illinois,17053,Ford County,5048,1754,6967,0.7245586335582029,0.25175828907707765,0.4728003444811253,1410,4474,6289,0.224200985848,0.711400858642,IL
Illinois,17055,Franklin County,13622,4760,18669,0.7296587926509186,0.254968128983877,0.4746906636670416,4711,13101,18533,0.254195219338,0.706901203259,IL
Illinois,17057,Fulton County,9867,6503,16724,0.5899904329107869,0.38884238220521405,0.20114805070557285,6118,8482,15609,0.391953360241,0.543404446153,IL
Illinois,17059,Gallatin County,2019,622,2675,0.7547663551401869,0.23252336448598132,0.5222429906542055,656,1942,2691,0.243775548123,0.721664808621,IL
Illinois,17061,Greene County,4770,1349,6227,0.7660189497350249,0.21663722498795568,0.5493817247470693,1202,4139,5542,0.216889209672,0.7468422952,IL
Illinois,17063,Grundy County,16523,9626,26753,0.6176129779837776,0.35981011475348557,0.257802863230292,8021,13417,22891,0.350399720414,0.586125551527,IL
Illinois,17065,Hamilton County,3432,824,4323,0.7938931297709924,0.19060837381448067,0.6032847559565117,800,3205,4143,0.193096789766,0.773594014,IL
Illinois,17067,Hancock County,6906,2315,9383,0.7360119364808697,0.2467227965469466,0.4892891399339231,1744,5713,7818,0.223074955232,0.730749552315,IL
Illinois,17069,Hardin County,1691,449,2162,0.7821461609620721,0.20767807585568918,0.5744680851063829,419,1650,2133,0.196436943272,0.773558368495,IL
Illinois,17071,Henderson County,2394,1187,3656,0.6548140043763676,0.324671772428884,0.3301422319474836,1151,2153,3480,0.330747126437,0.61867816092,IL
Illinois,17073,Henry County,15300,9797,25700,0.5953307392996109,0.3812062256809339,0.21412451361867701,8835,13962,24232,0.364600528227,0.576180257511,IL
Illinois,17075,Iroquois County,10877,2908,14044,0.774494446026773,0.2070635146681857,0.5674309313585872,2496,9728,12923,0.19314400681,0.752766385514,IL
Illinois,17077,Jackson County,10890,11181,22716,0.47939778129952454,0.4922081352350766,-0.012810353935552077,11619,10889,24509,0.474070749521,0.444285772573,IL
Illinois,17079,Jasper County,4494,1007,5586,0.8045112781954887,0.18027210884353742,0.6242391693519513,924,3973,5104,0.181034482759,0.778409090909,IL
Illinois,17081,Jefferson County,12476,4608,17436,0.7155310851112641,0.264280798348245,0.45125028676301904,4408,11681,16818,0.262100130812,0.694553454632,IL
Illinois,17083,Jersey County,8712,2961,11960,0.728428093645485,0.2475752508361204,0.4808528428093646,2673,7737,10909,0.245027041892,0.709230910258,IL
Illinois,17085,Jo Daviess County,7166,5109,12495,0.5735094037615046,0.40888355342136856,0.16462585034013605,4452,6113,11177,0.398317974412,0.546926724524,IL
Illinois,17087,Johnson County,5059,1281,6450,0.7843410852713179,0.1986046511627907,0.5857364341085272,1135,4644,6017,0.188632208742,0.771813195945,IL
Illinois,17089,Kane County,96775,130166,231876,0.4173566906449999,0.561360382273284,-0.14400369162828408,99389,82087,193500,0.513638242894,0.424222222222,IL
Illinois,17091,Kankakee County,28532,20271,50039,0.5701952477067888,0.4051040188652851,0.16509122884150368,18908,25081,46556,0.406134547642,0.538727553914,IL
Illinois,17093,Kendall County,29492,33168,64205,0.45934117280585623,0.5165952807413753,-0.05725410793551905,23392,24152,50815,0.460336514809,0.475292728525,IL
