year,raceId,driverId,driverRef,constructorId,constructorRef,wins,laps,fastestLapSpeed,fastestLap,milliseconds,seconds,minutes
2012,871,1,hamilton,1,mclaren,15,0,.,.,.,.,.
2012,872,1,hamilton,1,mclaren,15,53,235.841,52,4781221,4781.221,79.68702
2012,873,1,hamilton,1,mclaren,15,22,158.063,14,.,.,.
2012,874,1,hamilton,1,mclaren,15,53,213.842,45,5382732,5382.732,89.7122
2012,875,1,hamilton,1,mclaren,15,55,196.785,49,5868343,5868.343,97.80572
2012,876,1,hamilton,1,mclaren,15,60,207.433,58,5484653,5484.653,91.41088
2012,877,1,hamilton,1,mclaren,15,19,186.4,19,.,.,.
2012,878,1,hamilton,1,mclaren,15,56,199.047,55,5755269,5755.269,95.92115
2012,879,1,hamilton,1,mclaren,15,54,198.701,38,.,.,.
2013,880,1,hamilton,131,mercedes,19,58,212.689,45,5448786,5448.786,90.8131
2013,881,1,hamilton,131,mercedes,19,56,197.57,32,5948862,5948.862,99.1477
2013,882,1,hamilton,131,mercedes,19,56,196.273,50,5799267,5799.267,96.65445
2013,883,1,hamilton,131,mercedes,19,57,198.395,48,5795728,5795.728,96.59547
2013,884,1,hamilton,131,mercedes,19,65,190.659,53,.,.,.
2013,885,1,hamilton,131,mercedes,19,78,153.891,76,8285950,8285.95,138.0992
2013,886,1,hamilton,131,mercedes,19,70,205.615,69,5545085,5545.085,92.41808
2013,887,1,hamilton,131,mercedes,19,52,225.231,51,5587212,5587.212,93.1202
2013,888,1,hamilton,131,mercedes,19,60,196.83,57,6101638,6101.638,101.694
2013,890,1,hamilton,131,mercedes,19,70,186.322,69,6149445,6149.445,102.4908
2013,891,1,hamilton,131,mercedes,19,44,225.943,39,5049930,5049.93,84.1655
2013,892,1,hamilton,131,mercedes,19,53,242.924,51,4746879,4746.879,79.11465
2013,893,1,hamilton,131,mercedes,19,61,165.89,59,7206291,7206.291,120.1049
2013,894,1,hamilton,131,mercedes,19,55,197.134,53,6218956,6218.956,103.6493
2013,895,1,hamilton,131,mercedes,19,7,206.569,3,.,.,.
2013,896,1,hamilton,131,mercedes,19,60,207.182,53,5524662,5524.662,92.0777
2013,897,1,hamilton,131,mercedes,19,55,189.586,47,5965373,5965.373,99.42288
2013,898,1,hamilton,131,mercedes,19,56,196.857,50,5984506,5984.506,99.74177
2013,899,1,hamilton,131,mercedes,19,71,202.268,51,5629203,5629.203,93.82005
2014,900,1,hamilton,131,mercedes,19,2,173.636,2,.,.,.
2014,901,1,hamilton,131,mercedes,19,56,193.611,53,6025974,6025.974,100.4329
2014,902,1,hamilton,131,mercedes,19,57,200.634,49,5982743,5982.743,99.71238
2014,903,1,hamilton,131,mercedes,19,54,193.916,42,5608338,5608.338,93.4723
2014,904,1,hamilton,131,mercedes,19,66,187.275,54,6065155,6065.155,101.0859
2014,905,1,hamilton,131,mercedes,19,78,151.51,34,6576871,6576.871,109.6145
2014,906,1,hamilton,131,mercedes,19,46,198.875,24,.,.,.
2014,907,1,hamilton,131,mercedes,19,71,215.65,41,5276908,5276.908,87.94847
2014,908,1,hamilton,131,mercedes,19,52,218.239,26,8812094,8812.094,146.8682
2014,909,1,hamilton,131,mercedes,19,67,206.066,53,5645444,5645.444,94.09073
2014,910,1,hamilton,131,mercedes,19,70,180.494,36,6790915,6790.915,113.1819
2014,911,1,hamilton,131,mercedes,19,38,221.748,33,.,.,.
2014,912,1,hamilton,131,mercedes,19,53,236.975,29,4750236,4750.236,79.1706
2014,913,1,hamilton,131,mercedes,19,60,165.137,39,7204795,7204.795,120.0799
2014,914,1,hamilton,131,mercedes,19,44,187.322,39,6703021,6703.021,111.717
2014,915,1,hamilton,131,mercedes,19,53,207.2,48,5510744,5510.744,91.84573
2014,916,1,hamilton,131,mercedes,19,56,194.712,49,6004785,6004.785,100.0798
2014,917,1,hamilton,131,mercedes,19,71,210.895,62,5404012,5404.012,90.06687
2014,918,1,hamilton,131,mercedes,19,55,189.342,49,5942619,5942.619,99.04365
2015,926,1,hamilton,131,mercedes,19,58,209.915,50,5514067,5514.067,91.90112
2015,927,1,hamilton,131,mercedes,19,56,193.501,45,6074362,6074.362,101.2394
2015,928,1,hamilton,131,mercedes,19,56,191.996,31,5982008,5982.008,99.70013
2015,929,1,hamilton,131,mercedes,19,57,199.098,38,5705809,5705.809,95.09682
2015,930,1,hamilton,131,mercedes,19,66,189.849,54,6090106,6090.106,101.5018
2015,931,1,hamilton,131,mercedes,19,78,152.692,42,6564473,6564.473,109.4079
2015,932,1,hamilton,131,mercedes,19,70,202.648,64,5513145,5513.145,91.88575
2015,933,1,hamilton,131,mercedes,19,71,217.888,60,5425730,5425.73,90.42883
2015,934,1,hamilton,131,mercedes,19,52,218.425,29,5487729,5487.729,91.46215
2015,936,1,hamilton,131,mercedes,19,69,183.974,68,6422010,6422.01,107.0335
2015,937,1,hamilton,131,mercedes,19,43,224.12,34,5020387,5020.387,83.67312
2015,938,1,hamilton,131,mercedes,19,53,240.617,48,4680688,4680.688,78.01147
2015,939,1,hamilton,131,mercedes,19,32,162.072,24,.,.,.
2015,940,1,hamilton,131,mercedes,19,53,217.434,33,5286508,5286.508,88.10847
2015,941,1,hamilton,131,mercedes,19,53,209.328,44,5831024,5831.024,97.18373
2015,942,1,hamilton,131,mercedes,19,56,197.014,48,6652703,6652.703,110.8784
2015,943,1,hamilton,131,mercedes,19,71,191.945,67,6156992,6156.992,102.6165
2015,944,1,hamilton,131,mercedes,19,71,207.296,51,5476846,5476.846,91.28077
2015,945,1,hamilton,131,mercedes,19,55,191.302,44,5918446,5918.446,98.64077
2016,948,1,hamilton,131,mercedes,19,57,210.608,48,6503625,6503.625,108.3938
2016,949,1,hamilton,131,mercedes,19,57,205.785,43,5644844,5644.844,94.08073
2016,950,1,hamilton,131,mercedes,19,56,194.945,32,6012121,6012.121,100.202
2016,951,1,hamilton,131,mercedes,19,53,209.969,36,5587019,5587.019,93.11698
2016,952,1,hamilton,131,mercedes,19,0,.,.,.,.,.
2016,953,1,hamilton,131,mercedes,19,78,154.135,71,7169133,7169.133,119.4856
2016,954,1,hamilton,131,mercedes,19,70,206.625,68,5465296,5465.296,91.08827
2016,955,1,hamilton,131,mercedes,19,51,202.306,42,5628701,5628.701,93.81168
2016,956,1,hamilton,131,mercedes,19,71,227.647,67,5258107,5258.107,87.63512
2016,957,1,hamilton,131,mercedes,19,52,221.44,45,5695831,5695.831,94.93052
2016,958,1,hamilton,131,mercedes,19,70,188.095,69,6030115,6030.115,100.5019
2016,959,1,hamilton,131,mercedes,19,67,209.107,52,5444200,5444.2,90.73667
2016,960,1,hamilton,131,mercedes,19,44,225.969,40,6318692,6318.692,105.3115
2016,961,1,hamilton,131,mercedes,19,53,241.646,27,4663159,4663.159,77.71932
2016,962,1,hamilton,131,mercedes,19,61,169.221,52,6956988,6956.988,115.9498
2016,963,1,hamilton,131,mercedes,19,40,202.391,31,.,.,.
2016,964,1,hamilton,131,mercedes,19,53,219.703,36,5209109,5209.109,86.81848
2016,965,1,hamilton,131,mercedes,19,56,193.842,45,5892618,5892.618,98.2103
2016,966,1,hamilton,131,mercedes,19,71,187.592,66,6031402,6031.402,100.5234
2016,967,1,hamilton,131,mercedes,19,71,181.137,44,1086133,1086.133,18.10222
2016,968,1,hamilton,131,mercedes,19,55,190.174,37,5884013,5884.013,98.06688
2017,969,1,hamilton,131,mercedes,19,57,219.351,44,5061647,5061.647,84.36078
2017,970,1,hamilton,131,mercedes,19,56,205.745,44,5856158,5856.158,97.60263
2017,971,1,hamilton,131,mercedes,19,57,209.952,46,5640034,5640.034,94.00057
2017,972,1,hamilton,131,mercedes,19,52,213.955,18,5325063,5325.063,88.75105
2017,973,1,hamilton,131,mercedes,19,66,200.471,64,5756497,5756.497,95.94162
2017,974,1,hamilton,131,mercedes,19,78,158.433,54,6300141,6300.141,105.0024
2017,975,1,hamilton,131,mercedes,19,70,210.588,64,5585154,5585.154,93.0859
2017,976,1,hamilton,131,mercedes,19,51,208.862,46,7441761,7441.761,124.0294
2017,977,1,hamilton,131,mercedes,19,71,230.597,69,4915953,4915.953,81.93255
2017,978,1,hamilton,131,mercedes,19,51,234.025,48,4887430,4887.43,81.45717
2017,979,1,hamilton,131,mercedes,19,70,195.149,66,5999598,5999.598,99.9933
2017,980,1,hamilton,131,mercedes,19,44,236.526,35,5082820,5082.82,84.71367
2017,981,1,hamilton,131,mercedes,19,53,249.793,50,4532312,4532.312,75.53853
2017,982,1,hamilton,131,mercedes,19,58,173.643,55,7403544,7403.544,123.3924
2017,983,1,hamilton,131,mercedes,19,56,211.269,48,5414060,5414.06,90.23433
2017,984,1,hamilton,131,mercedes,19,53,222.917,43,5251194,5251.194,87.5199
2017,985,1,hamilton,131,mercedes,19,56,200.927,48,5630991,5630.991,93.84985
2017,986,1,hamilton,131,mercedes,19,70,193.813,69,.,.,.
2017,987,1,hamilton,131,mercedes,19,71,215.914,63,5491730,5491.73,91.52883
2017,988,1,hamilton,131,mercedes,19,55,197.041,51,5657961,5657.961,94.29935
2018,989,1,hamilton,131,mercedes,19,58,220.845,50,5378319,5378.319,89.63865
2018,990,1,hamilton,131,mercedes,19,57,207.371,51,5528452,5528.452,92.14087
2018,991,1,hamilton,131,mercedes,19,56,202.559,20,5753365,5753.365,95.88942
2018,992,1,hamilton,131,mercedes,19,51,205.012,35,6224291,6224.291,103.7382
2018,993,1,hamilton,131,mercedes,19,66,211.77,64,5729972,5729.972,95.49953
2018,994,1,hamilton,131,mercedes,19,78,157.508,15,6191820,6191.82,103.197
2018,995,1,hamilton,131,mercedes,19,68,211.633,66,5332936,5332.936,88.88227
2018,996,1,hamilton,131,mercedes,19,53,222.531,49,5411385,5411.385,90.18975
2018,997,1,hamilton,131,mercedes,19,62,231.18,58,.,.,.
2018,998,1,hamilton,131,mercedes,19,52,232.424,52,5252048,5252.048,87.53413
2018,999,1,hamilton,131,mercedes,19,67,217.968,66,5549845,5549.845,92.49742
2018,1000,1,hamilton,131,mercedes,19,70,194.454,63,5836427,5836.427,97.27378
2018,1001,1,hamilton,131,mercedes,19,44,236.264,23,5025537,5025.537,83.75895
2018,1002,1,hamilton,131,mercedes,19,53,252.794,30,4614484,4614.484,76.90807
2018,1003,1,hamilton,131,mercedes,19,61,177.108,56,6671611,6671.611,111.1935
2018,1004,1,hamilton,131,mercedes,19,53,219.492,50,5245181,5245.181,87.41968
2018,1005,1,hamilton,131,mercedes,19,53,225.307,51,5237062,5237.062,87.28437
