PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84788,20110131,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20110224,,,,,1,6,70,72,169.64000,191.25000,169.64000,1192172,-0.057556,169.64000,169.72000,451004,1,1,169.64000,,20110131,-0.057556,0.019190,0.018237,0.014412,0.013611,0.022646
84788,20110228,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20110330,,,,,1,6,69,1,172.11000,190.42000,173.28999,1013798,0.021516,173.24001,173.28000,451616,1,1,173.28999,,20110228,0.021516,0.038168,0.036236,0.037036,0.035725,0.031957
84788,20110331,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20110418,,,,,1,6,70,55,160.97000,180.13000,180.13000,1263632,0.039471,180.13000,180.14000,452000,1,1,180.13000,,20110331,0.039471,0.003343,0.001760,0.008605,0.006786,-0.001047
84788,20110429,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20110629,,,,,1,6,70,55,178.34000,196.63000,195.81000,1223903,0.087048,196.39999,196.41000,452043,1,1,195.81000,,20110429,0.087048,0.028602,0.027489,0.019203,0.018109,0.028495
84788,20110531,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,71,55,192.25999,206.07001,196.69000,1142393,0.004494,196.67999,196.69000,452043,1,1,196.69000,,20110531,0.004494,-0.014958,-0.016966,-0.018549,-0.020191,-0.013501
84788,20110630,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20110714,,,,,1,6,69,55,183.64999,204.49001,204.49001,1030579,0.039656,204.44000,204.49001,454000,1,1,204.49001,,20110630,0.039656,-0.018453,-0.020216,-0.024106,-0.026251,-0.018258
84788,20110729,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20110929,,,,,1,6,70,55,209.49001,223.89999,222.52000,987787,0.088171,222.52000,222.53000,453935,1,1,222.52000,,20110729,0.088171,-0.022550,-0.023689,-0.021813,-0.022838,-0.021474
84788,20110831,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,71,55,177.53999,221.32001,215.23000,1638523,-0.032761,215.14999,215.28999,453935,1,1,215.23000,,20110831,-0.032761,-0.057597,-0.059737,-0.075715,-0.077329,-0.056791
84788,20110930,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20111013,,,,,1,6,68,55,210.00000,241.69000,216.23000,1505178,0.004646,216.13000,216.23000,455000,1,1,216.23000,,20110930,0.004646,-0.085030,-0.086719,-0.100920,-0.102888,-0.071762
84788,20111031,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20111229,,,,,1,6,70,55,198.39999,246.71001,213.50999,1676436,-0.012579,213.50000,213.50999,454754,1,1,213.50999,,20111031,-0.012579,0.114215,0.112805,0.107697,0.106575,0.107723
84788,20111130,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,71,55,182.39900,218.92999,192.28999,1433889,-0.099386,192.28000,192.28999,454754,1,1,192.28999,,20111130,-0.099386,-0.006273,-0.008941,-0.020645,-0.022480,-0.005059
84788,20111230,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20120118,,,,,1,6,70,55,173.10001,197.13000,173.10001,1317124,-0.099797,173.14999,173.16000,455000,1,1,173.10001,,20111230,-0.099797,0.003671,0.001424,-0.003561,-0.007020,0.008533
84788,20120131,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20120216,,,,,1,6,70,55,175.92999,195.37000,194.44000,1160907,0.123281,194.50999,194.62000,455068,1,1,194.44000,,20120131,0.123281,0.054140,0.052992,0.085342,0.084432,0.043583
84788,20120229,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20120329,,,,,1,6,70,55,178.53000,191.59000,179.69000,1524481,-0.075859,179.57001,179.67000,451592,1,1,179.69000,,20120229,-0.075859,0.041253,0.038980,0.036494,0.035003,0.040589
84788,20120330,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20120412,,,,,1,6,69,55,179.30000,205.44000,202.50999,1192559,0.126996,202.52000,202.64999,450000,1,1,202.50999,,20120330,0.126996,0.024039,0.022157,0.017608,0.015303,0.031332
84788,20120430,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20120628,,,,,1,6,70,55,185.50000,231.89999,231.89999,1167696,0.145129,231.89999,231.91000,450526,1,1,231.89999,,20120430,0.145129,-0.006840,-0.008057,-0.009106,-0.010235,-0.007497
84788,20120531,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,69,55,209.23000,230.25000,212.91000,978741,-0.081889,212.75000,212.89000,450526,1,1,212.91000,,20120531,-0.081889,-0.065641,-0.068056,-0.068418,-0.070388,-0.062651
84788,20120629,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20120712,,,,,1,6,68,55,208.22000,228.35001,228.35001,694167,0.072519,228.34000,228.35001,452000,1,1,228.35001,,20120629,0.072519,0.038181,0.036079,0.034188,0.031622,0.039555
84788,20120731,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20120927,,,,,1,6,66,55,215.36000,237.32001,233.30000,811847,0.021677,233.25000,233.25999,452065,1,1,233.30000,,20120731,0.021677,0.010306,0.009054,-0.003281,-0.004484,0.012598
